Volatility,Node,Date,Sit,INV,DNG,QNG,HHDiffit,Ft,COT,HHst,TFE,,,
,East,1/1/2010,7.66,769,174475.20,13475.00,-1.780,5.77,724087,5.88,1,,,
0.145941169,East,1/8/2010,7.66,703,174475.20,13475.00,-1.100,5.818,760159,6.56,2,,,
0.64,East,1/15/2010,7.66,642,174475.20,13475.00,-1.980,5.61,782549,5.68,3,,,
0.003673095,East,1/22/2010,7.66,616,174475.20,13475.00,-2.100,5.625,769887,5.56,4,,,
0.001836735,East,1/29/2010,7.66,582,174475.20,13475.00,-2.190,5.35,782673,5.47,5,,,
0.033360439,East,2/5/2010,8.06,523,195992.00,15333.50,-2.590,5.448,775827,5.47,6,,,
0.00095407,East,2/12/2010,8.06,471,195992.00,15333.50,-2.510,5.37,780477,5.55,7,,,
0.003111062,East,2/19/2010,8.06,425,195992.00,15333.50,-2.650,5.228,794836,5.41,8,,,
0.041523674,East,2/26/2010,8.06,390,195992.00,15333.50,-3.190,4.816,820300,4.87,9,,,
9.82695E-06,East,3/5/2010,7.92,349,155059.00,16818.25,-3.180,4.664,853259,4.74,10,,,
0.008316522,East,3/12/2010,7.92,341,155059.00,16818.25,-3.470,4.49,859448,4.45,11,,,
0.004019633,East,3/19/2010,7.92,334,155059.00,16818.25,-3.690,4.26,831206,4.23,12,,,
0.003554615,East,3/26/2010,7.92,336,155059.00,16818.25,-3.910,4.034,815340,4.01,13,,,
0.033908726,East,4/2/2010,8.45,333,91133.00,16376.40,-4.630,3.943,844832,3.82,14,,,
0.001511413,East,4/9/2010,8.45,358,91133.00,16376.40,-4.450,4.086,868368,4,15,,,
0.000181795,East,4/16/2010,8.45,376,91133.00,16376.40,-4.390,4.08,879380,4.06,16,,,
0.000254254,East,4/23/2010,8.45,397,91133.00,16376.40,-4.460,4.054,823549,3.99,17,,,
0.001452875,East,4/30/2010,8.45,416,91133.00,16376.40,-4.290,4.13,861875,4.16,18,,,
0.044011932,East,5/7/2010,9.13,444,113509.25,21159.25,-5.190,3.99,868994,3.94,19,,,
0.002320306,East,5/14/2010,9.13,463,113509.25,21159.25,-4.940,4.246,874072,4.19,20,,,
0.00020079,East,5/21/2010,9.13,491,113509.25,21159.25,-4.870,4.21,840409,4.26,21,,,
0.00026985,East,5/28/2010,9.13,518,113509.25,21159.25,-4.950,4.172,842011,4.18,22,,,
0.002158963,East,6/4/2010,9.62,545,120283.00,20525.50,-5.180,4.54,828729,4.44,23,,,
0.003134271,East,6/11/2010,9.62,571,120283.00,20525.50,-4.890,4.768,832563,4.73,24,,,
0.005725135,East,6/18/2010,9.62,596,120283.00,20525.50,-4.520,5.068,825786,5.1,25,,,
0.001414559,East,6/25/2010,9.62,615,120283.00,20525.50,-4.690,4.808,759921,4.93,26,,,
0.021644746,East,7/2/2010,10.04,638,107968.80,20124.60,-5.380,4.685,783430,4.66,27,,,
3.4549E-06,East,7/9/2010,10.04,659,107968.80,20124.60,-5.390,4.513,800607,4.65,28,,,
0.000994765,East,7/16/2010,10.04,681,107968.80,20124.60,-5.560,4.432,785515,4.48,29,,,
0.000828114,East,7/23/2010,10.04,698,107968.80,20124.60,-5.400,4.566,764029,4.64,30,,,
0.000414952,East,7/30/2010,10.04,716,107968.80,20124.60,-5.290,4.762,779372,4.75,31,,,
0.005435229,East,8/6/2010,10.48,737,130217.00,25251.50,-5.680,4.63,842038,4.8,32,,,
0.004475798,East,8/13/2010,10.48,758,130217.00,25251.50,-6.060,4.314,828693,4.42,33,,,
0.000392118,East,8/20/2010,10.48,781,130217.00,25251.50,-6.180,4.206,828565,4.3,34,,,
0.00302678,East,8/27/2010,10.48,805,130217.00,25251.50,-6.520,3.89,816477,3.96,35,,,
0.010559769,East,9/3/2010,9.61,814,114906.00,24582.75,-5.850,3.816,827657,3.76,36,,,
4.67529E-05,East,9/10/2010,9.61,835,114906.00,24582.75,-5.810,3.828,821716,3.8,37,,,
0.001306431,East,9/17/2010,9.61,856,114906.00,24582.75,-5.600,3.998,817004,4.01,38,,,
0,East,9/24/2010,9.61,876,114906.00,24582.75,-5.600,3.922,774120,4.01,39,,,
0.255385842,East,10/1/2010,6.56,896,95313.00,24669.80,-2.770,3.85,791682,3.79,40,,,
0.009500971,East,10/8/2010,6.56,912,95313.00,24669.80,-3.040,3.722,794669,3.52,41,,,
9.73857E-05,East,10/15/2010,6.56,930,95313.00,24669.80,-3.070,3.626,807824,3.49,42,,,
0.001527868,East,10/22/2010,6.56,940,95313.00,24669.80,-3.190,3.436,808541,3.37,43,,,
0.00035377,East,10/29/2010,6.56,955,95313.00,24669.80,-3.250,3.578,796717,3.31,44,,,
0.024624852,East,11/5/2010,6.13,950,149034.00,30023.25,-2.740,3.868,815270,3.39,45,,,
0.012800362,East,11/12/2010,6.13,940,149034.00,30023.25,-2.430,4.016,781273,3.7,46,,,
0.000152416,East,11/19/2010,6.13,940,149034.00,30023.25,-2.400,3.974,749109,3.73,47,,,
0.005017361,East,11/26/2010,6.13,940,149034.00,30023.25,-2.230,4.3,758702,3.9,48,,,
0.033803213,East,12/3/2010,6.84,918,181176.20,24742.40,-2.640,4.27,760786,4.2,49,,,
0.009699265,East,12/10/2010,6.84,862,181176.20,24742.40,-2.380,4.47,785382,4.46,50,,,
0.007061648,East,12/17/2010,6.84,807,181176.20,24742.40,-2.580,4.204,784807,4.26,51,,,
0.004341686,East,12/24/2010,6.84,756,181176.20,24742.40,-2.750,4.133,760034,4.09,52,,,
0.000647934,East,12/31/2010,6.84,715,181176.20,24742.40,-2.680,4.274,767021,4.16,53,,,
0.034807307,East,1/7/2011,6.7,684,236130.75,33833.00,-2.180,4.528,817792,4.52,54,,,
0.000757512,East,1/14/2011,6.7,622,236130.75,33833.00,-2.240,4.455,852133,4.46,55,,,
0.002411511,East,1/21/2011,6.7,577,236130.75,33833.00,-2.130,4.604,836565,4.57,56,,,
0.003173973,East,1/28/2011,6.7,519,236130.75,33833.00,-2.250,4.436,831568,4.45,57,,,
0.003871605,East,2/4/2011,6.9,470,193685.25,31046.75,-2.390,4.37,898069,4.51,58,,,
0.020237741,East,2/11/2011,6.9,421,193685.25,31046.75,-2.730,4.016,944994,4.17,59,,,
0.009781427,East,2/18/2011,6.9,392,193685.25,31046.75,-3.000,3.913,960208,3.9,60,,,
0.0004,East,2/25/2011,6.9,359,193685.25,31046.75,-3.060,3.891,982208,3.84,61,,,
0.010263147,East,3/4/2011,6.57,330,182836.00,34451.75,-2.750,3.863,956442,3.82,62,,,
5.28926E-05,East,3/11/2011,6.57,308,182836.00,34451.75,-2.770,3.888,918567,3.8,63,,,
0.000834104,East,3/18/2011,6.57,296,182836.00,34451.75,-2.690,4.024,897569,3.88,64,,,
0.007960089,East,3/25/2011,6.57,293,182836.00,34451.75,-2.450,4.279,873477,4.12,65,,,
0.041649313,East,4/1/2011,7.25,265,111897.60,29651.60,-2.950,4.344,906245,4.3,66,,,
0.002585464,East,4/8/2011,7.25,269,111897.60,29651.60,-3.100,4.153,950482,4.15,67,,,
9.36524E-05,East,4/15/2011,7.25,284,111897.60,29651.60,-3.130,4.153,978580,4.12,68,,,
0.002296645,East,4/22/2011,7.25,298,111897.60,29651.60,-2.980,4.281,930153,4.27,69,,,
0.001621549,East,4/29/2011,7.25,321,111897.60,29651.60,-2.860,4.484,1003421,4.39,70,,,
0.028167637,East,5/6/2011,7.84,344,121722.50,38345.75,-3.340,4.487,981157,4.5,71,,,
0.009179246,East,5/13/2011,7.84,375,121722.50,38345.75,-3.660,4.204,956074,4.18,72,,,
