U.S. Natural Gas Citygate Price
https://www.eia.gov/dnav/ng/hist/n3050us3m.htm
20:42:47 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Citygate Price  Dollars per Thousand Cubic Feet
Feb 2022,5.78
Jan 2022,5.33
Dec 2021,5.82
Nov 2021,6.04
Oct 2021,6.41
Sep 2021,6.24
Aug 2021,5.67
Jul 2021,5.61
Jun 2021,4.89
May 2021,4.35
Apr 2021,3.85
Mar 2021,4.04
Feb 2021,12.45
Jan 2021,3.46
Dec 2020,3.57
Nov 2020,3.81
Oct 2020,3.5
Sep 2020,4.07
Aug 2020,4.09
Jul 2020,3.92
Jun 2020,3.81
May 2020,3.31
Apr 2020,3.05
Mar 2020,3.25
Feb 2020,3.09
Jan 2020,3.26
Dec 2019,3.5
Nov 2019,3.46
Oct 2019,3.42
Sep 2019,4.07
Aug 2019,4.15
Jul 2019,4.17
Jun 2019,4.17
May 2019,3.66
Apr 2019,3.72
Mar 2019,4.07
Feb 2019,3.91
Jan 2019,4.03
Dec 2018,4.72
Nov 2018,4.28
Oct 2018,4.1
Sep 2018,4.72
Aug 2018,5.25
Jul 2018,4.5
Jun 2018,4.49
May 2018,4.14
Apr 2018,3.65
Mar 2018,3.69
Feb 2018,3.99
Jan 2018,4.36
Dec 2017,4
Nov 2017,3.97
Oct 2017,4.03
Sep 2017,4.52
Aug 2017,4.61
Jul 2017,4.73
Jun 2017,4.82
May 2017,4.42
Apr 2017,4.2
Mar 2017,3.84
Feb 2017,4.13
Jan 2017,4.21
Dec 2016,3.96
Nov 2016,3.9
Oct 2016,4.19
Sep 2016,4.6
Aug 2016,4.33
Jul 2016,4.42
Jun 2016,3.84
May 2016,3.44
Apr 2016,3.22
Mar 2016,3.49
Feb 2016,3.48
Jan 2016,3.39
Dec 2015,3.75
Nov 2015,3.69
Oct 2015,4
Sep 2015,4.56
Aug 2015,4.59
Jul 2015,4.65
Jun 2015,4.44
May 2015,4.25
Apr 2015,3.93
Mar 2015,4.35
Feb 2015,4.57
Jan 2015,4.48
Dec 2014,5.15
Nov 2014,4.91
Oct 2014,5.16
Sep 2014,5.51
Aug 2014,5.49
Jul 2014,5.99
Jun 2014,6.05
May 2014,5.9
Apr 2014,5.64
Mar 2014,6.57
Feb 2014,6.41
Jan 2014,5.56
Dec 2013,4.93
Nov 2013,4.78
Oct 2013,4.88
Sep 2013,5.21
Aug 2013,5.24
Jul 2013,5.51
Jun 2013,5.74
May 2013,5.55
Apr 2013,5.16
Mar 2013,4.75
Feb 2013,4.56
Jan 2013,4.52
Dec 2012,4.79
Nov 2012,4.79
Oct 2012,4.65
Sep 2012,4.76
Aug 2012,5.13
Jul 2012,4.88
Jun 2012,4.63
May 2012,4.3
Apr 2012,4.19
Mar 2012,4.84
Feb 2012,4.73
Jan 2012,4.85
Dec 2011,5.03
Nov 2011,5.29
Oct 2011,5.45
Sep 2011,5.94
Aug 2011,6.19
Jul 2011,6.16
Jun 2011,6.12
May 2011,5.8
Apr 2011,5.62
Mar 2011,5.73
Feb 2011,5.75
Jan 2011,5.69
Dec 2010,5.74
Nov 2010,5.48
Oct 2010,5.7
Sep 2010,5.72
Aug 2010,6.22
Jul 2010,6.31
Jun 2010,6.02
May 2010,5.81
Apr 2010,5.88
Mar 2010,6.5
Feb 2010,6.64
Jan 2010,6.84
Dec 2009,6.22
Nov 2009,6.34
Oct 2009,5.65
Sep 2009,5.37
Aug 2009,5.61
Jul 2009,5.7
Jun 2009,5.55
May 2009,5.49
Apr 2009,5.71
Mar 2009,6.85
Feb 2009,7.26
Jan 2009,7.97
Dec 2008,8.16
Nov 2008,7.93
Oct 2008,7.8
Sep 2008,8.99
Aug 2008,10.2
Jul 2008,12.48
Jun 2008,11.85
May 2008,11.05
Apr 2008,9.84
Mar 2008,9.49
Feb 2008,8.91
Jan 2008,8.37
Dec 2007,8.27
