U.S. Natural Gas Wellhead Price
https://www.eia.gov/dnav/ng/hist/n9190us3m.htm
20:28:03 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Wellhead Price  Dollars per Thousand Cubic Feet
Dec 2012,3.35
Nov 2012,3.35
Oct 2012,3.03
Sep 2012,2.71
Aug 2012,2.86
Jul 2012,2.59
Jun 2012,2.54
May 2012,1.94
Apr 2012,1.89
Mar 2012,2.25
Feb 2012,2.46
Jan 2012,2.89
Dec 2011,3.14
Nov 2011,3.35
Oct 2011,3.62
Sep 2011,3.82
Aug 2011,4.2
Jul 2011,4.27
Jun 2011,4.2
May 2011,4.12
Apr 2011,4.05
Mar 2011,3.95
Feb 2011,4.34
Jan 2011,4.37
Dec 2010,4.68
Nov 2010,4.12
Oct 2010,4.05
Sep 2010,3.83
Aug 2010,4.38
Jul 2010,4.44
Jun 2010,4.27
May 2010,4.24
Apr 2010,4.1
Mar 2010,4.7
Feb 2010,5.3
Jan 2010,5.69
Dec 2009,4.66
Nov 2009,4.2
Oct 2009,3.83
Sep 2009,2.98
Aug 2009,3.37
Jul 2009,3.45
Jun 2009,3.38
May 2009,3.23
Apr 2009,3.18
Mar 2009,3.38
Feb 2009,3.7
Jan 2009,4.6
Dec 2008,5.94
Nov 2008,5.23
Oct 2008,5.64
Sep 2008,6.71
Aug 2008,8.21
Jul 2008,10.79
Jun 2008,10.36
May 2008,9.96
Apr 2008,8.87
Mar 2008,8.63
Feb 2008,8.02
Jan 2008,7.38
Dec 2007,6.87
Nov 2007,6.46
Oct 2007,5.78
Sep 2007,5.3
Aug 2007,5.76
Jul 2007,6.21
Jun 2007,6.62
May 2007,6.75
Apr 2007,6.26
Mar 2007,6.65
Feb 2007,6.8
Jan 2007,5.7
Dec 2006,6.76
Nov 2006,6.71
Oct 2006,5.09
Sep 2006,6.06
Aug 2006,6.55
Jul 2006,5.91
Jun 2006,5.77
May 2006,6.23
Apr 2006,6.37
Mar 2006,6.43
Feb 2006,6.85
Jan 2006,8.01
Dec 2005,9.08
Nov 2005,9.89
Oct 2005,10.33
Sep 2005,8.95
Aug 2005,6.48
Jul 2005,6.71
Jun 2005,6.09
May 2005,6.25
Apr 2005,6.57
Mar 2005,5.95
Feb 2005,5.73
Jan 2005,5.8
Dec 2004,6.01
Nov 2004,6.21
Oct 2004,5.43
Sep 2004,5.06
Aug 2004,5.52
Jul 2004,5.62
Jun 2004,5.82
May 2004,5.4
Apr 2004,5.03
Mar 2004,5.12
Feb 2004,5.02
Jan 2004,5.21
Dec 2003,4.76
Nov 2003,4.26
Oct 2003,4.32
Sep 2003,4.59
Aug 2003,4.46
Jul 2003,5.08
Jun 2003,5.41
May 2003,4.77
Apr 2003,4.47
Mar 2003,6.96
Feb 2003,5.05
Jan 2003,4.43
Dec 2002,3.96
Nov 2002,3.59
Oct 2002,3.24
Sep 2002,2.97
Aug 2002,2.76
Jul 2002,2.92
Jun 2002,2.96
May 2002,2.94
Apr 2002,2.94
Mar 2002,2.4
Feb 2002,2.19
Jan 2002,2.5
Dec 2001,3.42
Nov 2001,3.41
Oct 2001,2.78
Sep 2001,2.93
Aug 2001,3.33
Jul 2001,3.35
Jun 2001,3.79
May 2001,4.36
Apr 2001,4.52
Mar 2001,4.37
Feb 2001,5.08
Jan 2001,6.82
Dec 2000,5.77
Nov 2000,4.4
Oct 2000,4.58
Sep 2000,4.26
Aug 2000,3.73
Jul 2000,3.84
Jun 2000,3.77
May 2000,3.04
Apr 2000,2.86
Mar 2000,2.66
Feb 2000,2.73
Jan 2000,2.6
Dec 1999,2.24
Nov 1999,2.68
Oct 1999,2.52
Sep 1999,2.62
Aug 1999,2.51
Jul 1999,2.2
Jun 1999,2.14
May 1999,2.17
Apr 1999,1.9
Mar 1999,1.7
Feb 1999,1.77
Jan 1999,1.85
Dec 1998,1.95
Nov 1998,1.94
Oct 1998,1.86
Sep 1998,1.7
Aug 1998,1.82
Jul 1998,2.09
Jun 1998,1.91
May 1998,2.04
Apr 1998,2.16
Mar 1998,2.06
Feb 1998,1.96
Jan 1998,1.96
Dec 1997,2.28
Nov 1997,2.92
Oct 1997,2.68
Sep 1997,2.33
Aug 1997,2.08
Jul 1997,2
Jun 1997,2.08
May 1997,2
Apr 1997,1.81
Mar 1997,1.79
Feb 1997,2.49
Jan 1997,3.4
Dec 1996,3.26
Nov 1996,2.5
Oct 1996,1.94
Sep 1996,1.85
Aug 1996,2.1
Jul 1996,2.25
Jun 1996,2.08
May 1996,2.01
Apr 1996,2.08
Mar 1996,1.95
Feb 1996,1.89
Jan 1996,2.05
Dec 1995,1.84
Nov 1995,1.61
Oct 1995,1.54
Sep 1995,1.52
Aug 1995,1.43
Jul 1995,1.43
Jun 1995,1.58
May 1995,1.55
Apr 1995,1.52
Mar 1995,1.47
Feb 1995,1.48
Jan 1995,1.62
Dec 1994,1.88
Nov 1994,1.75
Oct 1994,1.7
Sep 1994,1.78
Aug 1994,1.83
Jul 1994,1.81
Jun 1994,1.8
May 1994,2
Apr 1994,1.91
Mar 1994,1.93
Feb 1994,1.88
Jan 1994,1.93
Dec 1993,2.15
Nov 1993,2.03
Oct 1993,2.02
Sep 1993,2.09
Aug 1993,2.04
Jul 1993,1.99
Jun 1993,1.98
May 1993,2.18
Apr 1993,2.06
Mar 1993,2
Feb 1993,1.76
Jan 1993,2.03
Dec 1992,2.07
Nov 1992,2.13
Oct 1992,2.38
Sep 1992,1.92
Aug 1992,1.84
Jul 1992,1.55
Jun 1992,1.62
May 1992,1.51
Apr 1992,1.42
Mar 1992,1.35
Feb 1992,1.26
Jan 1992,1.74
Dec 1991,2
Nov 1991,1.89
Oct 1991,1.82
Sep 1991,1.59
Aug 1991,1.43
Jul 1991,1.34
Jun 1991,1.43
May 1991,1.48
Apr 1991,1.5
Mar 1991,1.49
Feb 1991,1.62
Jan 1991,1.96
Dec 1990,2.04
Nov 1990,1.94
