Returns,Volatility,Node,Date,Sit,INV,DNG,QNG,HHDiffit,Ft,COT,HHst,cott,icot,idng,dngt,Node_Midwest,Node_Mountain,Node_Pacific,Node_South Central
0.0,0.0,East,2010-01-01,7.66,769,174475.2,13475.0,-1.78,5.77,724087,5.88,556822903,941.5955786736021,226.88582574772434,134171428.80000001,0,0,0,0
-0.481303184,0.48417309,East,2010-01-08,7.66,703,174475.2,13475.0,-1.1,5.818,760159,6.56,534391777,1081.3072546230442,248.18662873399717,122656065.60000001,0,0,0,0
0.587786665,0.595347152,East,2010-01-15,7.66,642,174475.2,13475.0,-1.98,5.61,782549,5.68,502396458,1218.923676012461,271.7682242990654,112013078.4,0,0,0,0
0.0588405,0.061240414,East,2010-01-22,7.66,616,174475.2,13475.0,-2.1,5.625,769887,5.56,474250392,1249.8165584415585,283.23896103896107,107476723.2,0,0,0,0
0.041964199,0.044199462,East,2010-01-29,7.66,582,174475.2,13475.0,-2.19,5.35,782673,5.47,455515686,1344.798969072165,299.7855670103093,101544566.4,0,0,0,0
0.167756332,0.171218865,East,2010-02-05,8.06,523,195992.0,15333.5,-2.59,5.448,775827,5.47,405757521,1483.416826003824,374.7456978967495,102503816.0,0,0,0,0
-0.031375123,0.029855382,East,2010-02-12,8.06,471,195992.0,15333.5,-2.51,5.37,780477,5.55,367604667,1657.063694267516,416.1188959660297,92312232.0,0,0,0,0
0.054276887,0.056632277,East,2010-02-19,8.06,425,195992.0,15333.5,-2.65,5.228,794836,5.41,337805300,1870.2023529411765,461.15764705882356,83296600.0,0,0,0,0
0.185461277,0.189096545,East,2010-02-26,8.06,390,195992.0,15333.5,-3.19,4.816,820300,4.87,319917000,2103.3333333333335,502.54358974358973,76436880.0,0,0,0,0
-0.00314,0.00134,East,2010-03-05,7.92,349,155059.0,16818.25,-3.18,4.664,853259,4.74,297787391,2444.868194842407,444.2951289398281,54115591.0,0,0,0,0
0.087273397,0.089950712,East,2010-03-12,7.92,341,155059.0,16818.25,-3.47,4.49,859448,4.45,293071768,2520.375366568915,454.71847507331375,52875119.0,0,0,0,0
0.061471864,0.063897451,East,2010-03-19,7.92,334,155059.0,16818.25,-3.69,4.26,831206,4.23,277622804,2488.640718562874,464.248502994012,51789706.0,0,0,0,0
0.057910916,0.060301761,East,2010-03-26,7.92,336,155059.0,16818.25,-3.91,4.034,815340,4.01,273954240,2426.6071428571427,461.48511904761904,52099824.0,0,0,0,0
0.169019494,0.172494351,East,2010-04-02,8.45,333,91133.0,16376.4,-4.63,3.943,844832,3.82,281329056,2537.033033033033,273.67267267267266,30347289.0,0,0,0,0
-0.039652772,0.038213791,East,2010-04-09,8.45,358,91133.0,16376.4,-4.45,4.086,868368,4.0,310875744,2425.608938547486,254.5614525139665,32625614.0,0,0,0,0
-0.013574869,0.011881463,East,2010-04-16,8.45,376,91133.0,16376.4,-4.39,4.08,879380,4.06,330646880,2338.776595744681,242.375,34266008.0,0,0,0,0
0.015819539,0.017799726,East,2010-04-23,8.45,397,91133.0,16376.4,-4.46,4.054,823549,3.99,326948953,2074.4307304785893,229.55415617128463,36179801.0,0,0,0,0
-0.038862033,0.037415337,East,2010-04-30,8.45,416,91133.0,16376.4,-4.29,4.13,861875,4.16,358540000,2071.814903846154,219.06971153846155,37911328.0,0,0,0,0
0.190446964,0.194130874,East,2010-05-07,9.13,444,113509.25,21159.25,-5.19,3.99,868994,3.94,385833336,1957.1936936936936,255.65146396396398,50398107.0,0,0,0,0
-0.049368366,0.048024173,East,2010-05-14,9.13,463,113509.25,21159.25,-4.94,4.246,874072,4.19,404695336,1887.8444924406047,245.16036717062636,52554782.75,0,0,0,0
-0.014271394,0.012584784,East,2010-05-21,9.13,491,113509.25,21159.25,-4.87,4.21,840409,4.26,412640819,1711.6272912423626,231.17973523421588,55733041.75,0,0,0,0
0.016293639,0.018278452,East,2010-05-28,9.13,518,113509.25,21159.25,-4.95,4.172,842011,4.18,436161698,1625.503861003861,219.12982625482624,58797791.5,0,0,0,0
0.04541748,0.047686434,East,2010-06-04,9.62,545,120283.0,20525.5,-5.18,4.54,828729,4.44,451657305,1520.6036697247707,220.702752293578,65554235.0,0,0,0,0
-0.057612753,0.056348995,East,2010-06-11,9.62,571,120283.0,20525.5,-4.89,4.768,832563,4.73,475393473,1458.07880910683,210.65323992994746,68681593.0,0,0,0,0
-0.07868031,0.077622094,East,2010-06-18,9.62,596,120283.0,20525.5,-4.52,5.068,825786,5.1,492168456,1385.5469798657718,201.81711409395973,71688668.0,0,0,0,0
0.036920589,0.039106645,East,2010-06-25,9.62,615,120283.0,20525.5,-4.69,4.808,759921,4.93,467351415,1235.6439024390245,195.58211382113822,73974045.0,0,0,0,0
0.137255792,0.140420751,East,2010-07-02,10.04,638,107968.8,20124.6,-5.38,4.685,783430,4.66,499828340,1227.9467084639498,169.23009404388716,68884094.4,0,0,0,0
0.00186,0.0037,East,2010-07-09,10.04,659,107968.8,20124.6,-5.39,4.513,800607,4.65,527600013,1214.8816388467376,163.8373292867982,71151439.2,0,0,0,0
0.031052723,0.033181531,East,2010-07-16,10.04,681,107968.8,20124.6,-5.56,4.432,785515,4.48,534935715,1153.4728340675476,158.54449339207048,73526752.8,0,0,0,0
-0.029199155,0.027658184,East,2010-07-23,10.04,698,107968.8,20124.6,-5.4,4.566,764029,4.64,533292242,1094.5974212034384,154.68309455587394,75362222.4,0,0,0,0
-0.020580708,0.018955653,East,2010-07-30,10.04,716,107968.8,20124.6,-5.29,4.762,779372,4.75,558030352,1088.508379888268,150.79441340782122,77305660.8,0,0,0,0
